host,problem,function,dimension,instance,seed,action,baseline_best,first_f,best_h1,best_h10,best_h50,best_h100
cma,bbob_f008_i76_d05,8,5,76,0,contract_clip,1261.9211030533197,2713.269193412007,1261.9211030533197,1261.9211030533197,1012.6887563648208,1007.7385235643108
cma,bbob_f008_i76_d05,8,5,76,1,pass,1296.6538432245843,1427.5478661767206,1296.6538432245843,1237.955975283153,1193.4178119104897,1027.0557871154465
cma,bbob_f008_i76_d05,8,5,76,1,contract,1296.6538432245843,1625.2090520349584,1296.6538432245843,1237.955975283153,1189.1352594956968,1024.9451684159108
cma,bbob_f008_i76_d05,8,5,76,1,contract_clip,1296.6538432245843,1625.2090520349584,1296.6538432245843,1237.955975283153,1189.1352594956968,1024.9451684159108
cma,bbob_f009_i75_d05,9,5,75,0,pass,405.2675693546323,1470.5415634843196,405.2675693546323,405.2675693546323,405.2675693546323,395.73458605461946
cma,bbob_f009_i75_d05,9,5,75,0,contract,405.2675693546323,751.4427193161566,405.2675693546323,405.2675693546323,398.0910432241303,336.0065464338517
cma,bbob_f009_i75_d05,9,5,75,0,contract_clip,405.2675693546323,763.5352053156382,405.2675693546323,405.2675693546323,399.1865102686077,241.8401910270087
cma,bbob_f009_i75_d05,9,5,75,1,pass,133.51043142018852,208.7965508896693,133.51043142018852,133.19805615103877,86.64536773564939,63.085484910882386
cma,bbob_f009_i75_d05,9,5,75,1,contract,133.51043142018852,115.0409369455774,115.0409369455774,115.0409369455774,65.74723918451986,62.35141446567126
cma,bbob_f009_i75_d05,9,5,75,1,contract_clip,133.51043142018852,115.0409369455774,115.0409369455774,115.0409369455774,65.74723918451986,62.35141446567126
cma,bbob_f009_i76_d05,9,5,76,0,pass,49.95054043958494,207.7978665568891,49.95054043958494,49.95054043958494,14.807407602463446,1.438112308200477
cma,bbob_f009_i76_d05,9,5,76,0,contract,49.95054043958494,93.92891624347496,49.95054043958494,49.95054043958494,10.338916190485142,-0.8602616895580857
cma,bbob_f009_i76_d05,9,5,76,0,contract_clip,49.95054043958494,93.92891624347496,49.95054043958494,49.95054043958494,10.338916190485142,-0.8602616895580857
cma,bbob_f009_i76_d05,9,5,76,1,pass,251.9244377810911,1872.4492619954133,251.9244377810911,251.9244377810911,134.5402367645121,109.41998802542668
cma,bbob_f009_i76_d05,9,5,76,1,contract,251.9244377810911,748.5643108106237,251.9244377810911,29.370622016540896,15.714588507306775,15.714588507306775
cma,bbob_f009_i76_d05,9,5,76,1,contract_clip,251.9244377810911,748.5643108106237,251.9244377810911,29.370622016540896,15.714588507306775,15.714588507306775
cma,bbob_f010_i75_d05,10,5,75,0,pass,5425.908556003285,519951.889871341,5425.908556003285,5425.908556003285,5425.908556003285,1504.6730797936602
cma,bbob_f010_i75_d05,10,5,75,0,contract,5425.908556003285,172808.72927999846,5425.908556003285,5425.908556003285,1634.319760926359,982.8062857157867
cma,bbob_f010_i75_d05,10,5,75,0,contract_clip,5425.908556003285,172808.72927999846,5425.908556003285,5425.908556003285,1634.319760926359,982.8062857157867
cma,bbob_f010_i75_d05,10,5,75,1,pass,602.5537479337556,175575.18929768502,602.5537479337556,602.5537479337556,602.5537479337556,374.5813222400332
cma,bbob_f010_i75_d05,10,5,75,1,contract,602.5537479337556,8458.749067134524,602.5537479337556,602.5537479337556,602.5537479337556,145.84946590031967
