host,problem,function,dimension,instance,seed,action,baseline_best,first_f,best_h1,best_h10,best_h50,best_h200
de,bbob_f003_i73_d10,3,10,73,1,contract,492.3076617983888,596.6006872259114,492.3076617983888,492.3076617983888,473.66298563419616,424.8541398261534
de,bbob_f003_i73_d10,3,10,73,1,reflect,492.3076617983888,925.543191842062,492.3076617983888,492.3076617983888,473.66298563419616,424.8541398261534
pso,bbob_f003_i73_d10,3,10,73,1,pass,432.80423217455103,465.15792570143486,432.80423217455103,432.80423217455103,413.4656756649221,397.2785617306235
pso,bbob_f003_i73_d10,3,10,73,1,contract,432.80423217455103,437.48548458776463,432.80423217455103,432.80423217455103,413.4656756649221,397.2785617306235
pso,bbob_f003_i73_d10,3,10,73,1,reflect,432.80423217455103,646.2409355322517,432.80423217455103,432.80423217455103,413.4656756649221,397.2785617306235
cma,bbob_f003_i73_d10,3,10,73,1,pass,374.44869112430536,427.9524272875965,374.44869112430536,374.44869112430536,352.48724512815346,352.48724512815346
cma,bbob_f003_i73_d10,3,10,73,1,contract,374.44869112430536,411.6339295270933,374.44869112430536,374.44869112430536,361.6465121237849,357.5989899571414
cma,bbob_f003_i73_d10,3,10,73,1,reflect,374.44869112430536,359.76875786218636,359.76875786218636,359.76875786218636,359.76875786218636,346.57068265531905
de,bbob_f003_i74_d10,3,10,74,0,pass,178.2596258232889,942.4094976880064,178.2596258232889,178.2596258232889,162.27086925436475,162.27086925436475
de,bbob_f003_i74_d10,3,10,74,0,contract,178.2596258232889,338.02658491093734,178.2596258232889,178.2596258232889,162.27086925436475,142.4808245297006
de,bbob_f003_i74_d10,3,10,74,0,reflect,178.2596258232889,714.4506594289516,178.2596258232889,178.2596258232889,162.27086925436475,162.27086925436475
pso,bbob_f003_i74_d10,3,10,74,0,pass,41.26166665367549,417.691236036111,41.26166665367549,41.26166665367549,41.26166665367549,41.26166665367549
pso,bbob_f003_i74_d10,3,10,74,0,contract,41.26166665367549,165.05494261332478,41.26166665367549,41.26166665367549,41.26166665367549,41.26166665367549
pso,bbob_f003_i74_d10,3,10,74,0,reflect,41.26166665367549,345.9544741305471,41.26166665367549,41.26166665367549,41.26166665367549,41.26166665367549
cma,bbob_f003_i74_d10,3,10,74,0,pass,50.01959174482957,74.99533354303159,50.01959174482957,50.01959174482957,50.01959174482957,23.03749857917407
cma,bbob_f003_i74_d10,3,10,74,0,contract,50.01959174482957,89.61599317318753,50.01959174482957,50.01959174482957,49.01167776416325,25.136648785492582
cma,bbob_f003_i74_d10,3,10,74,0,reflect,50.01959174482957,122.14710015640777,50.01959174482957,50.01959174482957,25.5579389325012,25.5579389325012
de,bbob_f003_i74_d10,3,10,74,1,pass,176.20984516985766,203.61878322850265,176.20984516985766,176.20984516985766,158.91986350312925,158.3426565883097
de,bbob_f003_i74_d10,3,10,74,1,contract,176.20984516985766,175.59630997470907,175.59630997470907,175.59630997470907,158.91986350312925,158.3426565883097
de,bbob_f003_i74_d10,3,10,74,1,reflect,176.20984516985766,888.3633816834014,176.20984516985766,176.20984516985766,158.91986350312925,158.3426565883097
pso,bbob_f003_i74_d10,3,10,74,1,pass,70.43119997688173,149.70147707753796,70.43119997688173,70.43119997688173,49.06513178138161,41.49686622703196
pso,bbob_f003_i74_d10,3,10,74,1,contract,70.43119997688173,140.40590844682293,70.43119997688173,70.43119997688173,49.06513178138161,44.287685307392266
pso,bbob_f003_i74_d10,3,10,74,1,reflect,70.43119997688173,230.77567177514533,70.43119997688173,70.43119997688173,49.06513178138161,44.287685307392266
cma,bbob_f003_i74_d10,3,10,74,1,pass,49.90264283508834,117.15990289879421,49.90264283508834,49.90264283508834,44.786193158016374,25.00880974939784
cma,bbob_f003_i74_d10,3,10,74,1,contract,49.90264283508834,52.47473674257252,49.90264283508834,49.90264283508834,49.90264283508834,36.952268175557876
cma,bbob_f003_i74_d10,3,10,74,1,reflect,49.90264283508834,108.28058411211687,49.90264283508834,49.90264283508834,49.90264283508834,38.49488226653854
de,bbob_f004_i73_d10,4,10,73,0,pass,600.1215025193104,19003.59314614383,600.1215025193104,600.1215025193104,600.1215025193104,585.9681898685601
de,bbob_f004_i73_d10,4,10,73,0,contract,600.1215025193104,3404.279246955067,600.1215025193104,600.1215025193104,600.1215025193104,585.9681898685601
de,bbob_f004_i73_d10,4,10,73,0,reflect,600.1215025193104,1802.2801763128316,600.1215025193104,600.1215025193104,600.1215025193104,585.9681898685601
pso,bbob_f004_i73_d10,4,10,73,0,pass,407.5693092162089,1737.9447735521287,407.5693092162089,407.5693092162089,407.5693092162089,399.7195784731538
pso,bbob_f004_i73_d10,4,10,73,0,contract,407.5693092162089,524.0108949659832,407.5693092162089,407.5693092162089,407.5693092162089,399.7195784731538
pso,bbob_f004_i73_d10,4,10,73,0,reflect,407.5693092162089,618.1385060201678,407.5693092162089,407.5693092162089,407.5693092162089,399.7195784731538
cma,bbob_f004_i73_d10,4,10,73,0,pass,401.614397960739,458.4359481513336,401.614397960739,401.614397960739,378.4588037770802,362.76699740505455
cma,bbob_f004_i73_d10,4,10,73,0,contract,401.614397960739,412.8217421146936,401.614397960739,401.614397960739,401.614397960739,392.2945779483294
cma,bbob_f004_i73_d10,4,10,73,0,reflect,401.614397960739,459.08518070221663,401.614397960739,401.614397960739,355.09713688639516,355.09713688639516
de,bbob_f004_i73_d10,4,10,73,1,pass,488.7739094342905,972.2975726945548,488.7739094342905,488.7739094342905,488.7739094342905,488.7739094342905
de,bbob_f004_i73_d10,4,10,73,1,contract,488.7739094342905,625.0192256007092,488.7739094342905,488.7739094342905,488.7739094342905,488.7739094342905
de,bbob_f004_i73_d10,4,10,73,1,reflect,488.7739094342905,6604.1304565285,488.7739094342905,488.7739094342905,488.7739094342905,488.7739094342905
pso,bbob_f004_i73_d10,4,10,73,1,pass,396.90001085727056,543.681031604018,396.90001085727056,396.90001085727056,396.90001085727056,396.90001085727056
pso,bbob_f004_i73_d10,4,10,73,1,contract,396.90001085727056,459.94339672884973,396.90001085727056,396.90001085727056,396.90001085727056,396.90001085727056
pso,bbob_f004_i73_d10,4,10,73,1,reflect,396.90001085727056,1295.054316908569,396.90001085727056,396.90001085727056,396.90001085727056,396.90001085727056
cma,bbob_f004_i73_d10,4,10,73,1,pass,373.74013058586377,410.0112307507213,373.74013058586377,373.74013058586377,373.74013058586377,358.1786460280631
cma,bbob_f004_i73_d10,4,10,73,1,contract,373.74013058586377,413.2761782483698,373.74013058586377,373.74013058586377,373.74013058586377,350.559861685155
cma,bbob_f004_i73_d10,4,10,73,1,reflect,373.74013058586377,634.169971016714,373.74013058586377,373.74013058586377,373.74013058586377,360.7837585979159
de,bbob_f004_i74_d10,4,10,74,0,pass,303.57595367316753,5751.23511106935,303.57595367316753,303.57595367316753,303.57595367316753,254.80689638955397
de,bbob_f004_i74_d10,4,10,74,0,contract,303.57595367316753,729.6600187106507,303.57595367316753,303.57595367316753,303.57595367316753,221.57752052112517
de,bbob_f004_i74_d10,4,10,74,0,reflect,303.57595367316753,11330.289421399078,303.57595367316753,303.57595367316753,303.57595367316753,254.80689638955397
pso,bbob_f004_i74_d10,4,10,74,0,pass,134.38501101709483,149.53080526226847,134.38501101709483,134.38501101709483,128.94497295143407,93.26986307024858
pso,bbob_f004_i74_d10,4,10,74,0,contract,134.38501101709483,109.97129500195162,109.97129500195162,109.97129500195162,109.97129500195162,72.05020466280995
pso,bbob_f004_i74_d10,4,10,74,0,reflect,134.38501101709483,612.1345870342512,134.38501101709483,134.38501101709483,128.94497295143407,93.26986307024858
cma,bbob_f004_i74_d10,4,10,74,0,pass,92.108592754875,167.07540927108795,92.108592754875,92.108592754875,79.84272805090002,35.021772733747994
cma,bbob_f004_i74_d10,4,10,74,0,contract,92.108592754875,147.21264607042485,92.108592754875,92.108592754875,47.80945593466822,47.10629465129364
cma,bbob_f004_i74_d10,4,10,74,0,reflect,92.108592754875,148.27585643986782,92.108592754875,92.108592754875,67.85987871764344,38.2239477243282
de,bbob_f004_i74_d10,4,10,74,1,pass,215.37424068502844,300.4179069241033,215.37424068502844,215.37424068502844,189.74557405952902,184.087427493171
de,bbob_f004_i74_d10,4,10,74,1,contract,215.37424068502844,262.5090103428621,215.37424068502844,215.37424068502844,189.74557405952902,189.74557405952902
de,bbob_f004_i74_d10,4,10,74,1,reflect,215.37424068502844,6879.170432289,215.37424068502844,215.37424068502844,189.74557405952902,189.74557405952902
pso,bbob_f004_i74_d10,4,10,74,1,pass,157.62743847125972,185.70147924261903,157.62743847125972,157.62743847125972,157.62743847125972,74.07965433607326
pso,bbob_f004_i74_d10,4,10,74,1,contract,157.62743847125972,195.7073626423616,157.62743847125972,157.62743847125972,157.62743847125972,74.07965433607326
pso,bbob_f004_i74_d10,4,10,74,1,reflect,157.62743847125972,1890.305437545622,157.62743847125972,157.62743847125972,157.62743847125972,74.07965433607326
