problem,function,instance,dimension,seed,mode,popsize,baseline_best,pass_proposal_f,first_f,best_h1,best_h10,best_h50,best_h400,mean_shift_generation,sigma_ratio_generation,trace_ratio_generation,condition_ratio_generation,sigma_ratio_final,trace_ratio_final
bbob_f002_i79_d20,2,79,20,3,direct,12,148807.02807390675,,139836.60778766513,139836.60778766513,139836.60778766513,138288.57796291882,70368.45042294267,0.8948986546756544,0.9463941961704595,0.995745859997758,1.015594089045365,0.5340487657502562,0.9606669031954203
bbob_f002_i79_d20,2,79,20,3,inject,12,148807.02807390675,,139836.60778766513,139836.60778766513,139836.60778766513,101919.16907732646,66622.38454669276,1.1261372338107558,0.9739525664491864,0.9959425709737774,1.0138495183543121,0.3210892821362074,0.9465652650437777
bbob_f002_i80_d20,2,80,20,0,pass,12,221471.39089021354,503188.4287081247,503188.4287081247,221471.39089021354,221471.39089021354,221471.39089021354,108939.79145250969,1.8000623899835,0.9567856052845929,0.9976223459046416,1.014602559636754,0.49929789417391024,0.9466859208049262
bbob_f002_i80_d20,2,80,20,0,direct,12,221471.39089021354,,413753.8175098266,221471.39089021354,221471.39089021354,221471.39089021354,80736.11126450081,1.5627460875066228,0.9449273465920242,0.9949834255562795,1.0108178665394794,0.5116030436573255,0.9500162785925054
bbob_f002_i80_d20,2,80,20,0,inject,12,221471.39089021354,,413753.8175098266,221471.39089021354,221471.39089021354,221471.39089021354,86385.14753211728,1.7568629554605173,0.9616365798355524,0.9962612172932022,1.0138283632413065,0.37143158185665565,0.9358803925919263
bbob_f002_i80_d20,2,80,20,1,pass,12,306040.34508962504,768620.4812552094,768620.4812552094,306040.34508962504,217580.75269990275,217580.75269990275,50041.75894246547,1.7085072850016312,1.0226296693512742,0.9993768726885172,1.0651480200133816,0.5238534790530891,0.9688040030263292
bbob_f002_i80_d20,2,80,20,1,direct,12,306040.34508962504,,425484.8973012316,306040.34508962504,217580.75269990275,217580.75269990275,42192.424260784835,1.6729430742380005,1.0309527266050558,0.9990267233371174,1.0690577542849802,0.4679412449534112,0.9721247866973088
bbob_f002_i80_d20,2,80,20,1,inject,12,306040.34508962504,,425484.8973012316,306040.34508962504,217580.75269990275,217580.75269990275,89368.87176930583,1.7229917621776407,1.0336885182520086,0.998562459412141,1.0660369571919381,0.55557571633708,0.9827193561934352
bbob_f002_i80_d20,2,80,20,2,pass,12,107791.81808963881,346253.43525985687,346253.43525985687,107791.81808963881,107791.81808963881,99360.52249390318,48169.43645135234,1.0701876181929324,0.9481884167912171,0.9958994518803259,1.0138016727228556,0.5685617325683112,0.9647762559721845
bbob_f002_i80_d20,2,80,20,2,direct,12,107791.81808963881,,169368.8515928648,107791.81808963881,107791.81808963881,107791.81808963881,27851.026883541308,0.8148451849772004,0.9312218903333522,0.9941690682515422,1.0158860770684486,0.36650878041174295,0.9465559471015618
bbob_f002_i80_d20,2,80,20,2,inject,12,107791.81808963881,,169368.8515928648,107791.81808963881,107791.81808963881,105861.1673093756,28435.388373401736,0.8148451849772004,0.9312218903333522,0.9937179234154386,1.0183379482875403,0.31951344535707105,0.9471209014942654
bbob_f002_i80_d20,2,80,20,3,pass,12,295922.6213874691,533202.5305262955,533202.5305262955,295922.6213874691,290894.7838239643,131961.5126039544,53278.00081135234,2.1269954146047922,1.0103327069950265,1.0039197791776773,1.005830319759235,0.6228565180549634,0.9769549534412313
bbob_f002_i80_d20,2,80,20,3,direct,12,295922.6213874691,,414764.5295877607,295922.6213874691,290894.7838239643,133480.78227254903,20970.754866502368,2.118601262268454,1.014467776597585,1.0032881934337403,1.0056360351967402,0.42458602490405084,0.9393739334516843
bbob_f002_i80_d20,2,80,20,3,inject,12,295922.6213874691,,414764.5295877607,295922.6213874691,290894.7838239643,142292.18142506125,52587.43610253843,1.9988674859936395,1.0132663469181549,1.0032667855437067,1.0081577969878874,0.5107129461658092,0.9637395509241192
